room_type,number_of_reviews,calculated_host_listings_count,availability_365,price
0,2,1,17,48
0,58,3,358,50
1,5,1,0,100
0,19,1,0,85
0,0,1,0,40
1,21,1,0,170
1,2,1,81,160
1,21,1,0,229
0,1,3,72,60
1,0,2,0,75
0,0,1,176,45
0,47,1,300,65
0,49,1,0,110
0,1,1,0,57
0,19,2,41,99
0,15,1,0,40
1,6,1,1,200
1,5,1,18,180
1,9,1,0,150
1,1,1,6,200
0,3,1,238,274
1,9,1,78,150
1,2,1,0,90
1,1,1,0,219
0,1,1,0,100
1,3,1,0,154
1,24,1,0,170
0,50,1,80,125
0,2,1,0,45
0,14,1,189,45
0,10,2,8,120
0,2,1,364,95
0,23,1,333,49
0,6,3,36,139
1,5,1,0,325
1,0,2,0,125
1,5,1,0,75
1,49,1,360,200
1,37,1,310,120
1,2,1,0,185
1,31,1,101,250
0,0,1,0,90
1,0,1,0,225
1,5,3,45,120
0,1,1,0,46
1,32,1,0,100
1,54,2,12,157
1,0,1,0,200
1,2,1,16,175
0,62,1,54,59
1,16,1,70,158
0,4,1,77,60
1,0,3,158,200
1,3,1,0,175
0,0,1,0,90
1,2,1,0,120
1,1,1,27,85
1,13,1,3,136
0,4,1,0,90
0,4,1,3,65
1,31,1,0,135
1,1,1,0,149
1,0,1,43,199
0,0,1,0,150
0,3,3,249,57
0,0,1,0,95
1,5,1,0,150
1,2,1,0,250
1,0,1,0,250
0,3,1,0,100
0,0,1,0,50
1,52,1,325,93
0,0,1,0,100
0,32,1,0,75
0,31,1,123,99
1,29,2,247,300
1,1,1,0,300
1,1,1,0,105
1,4,1,3,105
1,1,3,0,115
1,0,1,26,126
0,1,1,0,100
0,2,3,0,99
1,1,1,0,69
0,0,1,88,60
0,16,1,158,55
1,0,2,364,307
0,9,1,0,60
0,0,2,178,50
1,43,1,285,150
1,0,1,0,137
0,5,1,0,60
1,0,1,9,275
1,3,1,0,127
0,37,3,364,58
0,2,1,0,75
1,27,1,168,98
1,0,1,343,143
0,2,1,0,95
0,31,3,134,65
0,1,1,0,75
0,11,1,0,88
1,0,1,0,150
0,3,1,0,80
1,0,1,117,200
1,0,1,126,165
1,11,1,6,120
0,1,1,22,80
1,3,1,89,140
1,3,1,0,200
1,48,1,61,180
0,0,1,74,60
0,9,3,357,38
1,5,1,0,125
1,41,2,363,99
1,0,1,1,89
1,1,1,207,125
0,1,1,189,60
0,42,1,2,10
0,1,1,35,50
0,18,3,304,130
1,3,1,0,110
0,6,1,287,145
0,37,3,344,75
1,45,2,112,190
0,15,2,217,50
0,66,1,232,60
1,2,1,0,150
1,5,3,99,108
1,8,1,0,170
0,0,1,0,70
0,64,2,355,100
1,4,1,0,195
0,69,1,142,70
1,1,1,0,93
0,14,1,0,89
1,3,1,0,175
0,2,1,0,300
0,0,1,0,40
0,25,1,0,55
0,3,1,0,47
1,35,1,16,149
0,0,1,0,80
0,1,1,0,95
1,0,1,0,200
0,3,1,0,60
1,7,3,358,199
1,20,3,283,260
0,0,1,0,59
1,3,3,70,180
0,6,1,58,80
1,4,1,179,199
0,7,1,158,35
1,10,1,0,199
0,0,3,360,325
1,33,1,27,70
0,8,2,0,30
0,51,1,170,60
1,9,1,8,90
0,2,1,0,55
1,3,1,26,82
1,22,1,7,110
1,3,1,308,180
0,26,3,118,44
1,14,1,205,160
1,39,1,38,105
1,3,1,279,115
0,6,1,193,85
2,34,2,288,30
0,1,1,0,75
1,68,1,50,80
1,2,1,0,175
0,8,3,48,82
2,18,1,56,63
0,0,2,63,49
0,9,1,342,55
0,16,2,345,80
1,0,1,0,80
1,8,1,0,155
1,4,2,179,200
1,2,1,212,189
0,2,1,0,65
1,0,1,0,79
0,25,1,4,49
1,1,1,0,250
1,12,1,71,160
0,15,1,358,100
0,2,1,0,45
0,64,1,219,100
0,18,1,21,84
0,6,1,142,125
0,0,2,0,100
0,0,1,0,150
0,1,1,0,61
1,6,1,130,199
1,0,1,0,289
1,1,2,32,75
0,34,1,8,85
1,10,1,24,100
1,13,1,0,125
0,1,1,0,100
0,3,1,0,70
1,23,1,25,179
2,8,1,89,65
1,12,1,0,65
1,4,1,0,125
0,21,2,0,39
0,2,1,89,50
1,1,1,0,200
0,5,2,0,47
0,4,1,1,150
1,6,1,20,180
0,1,1,0,80
1,2,1,0,150
1,0,1,0,150
0,39,1,29,90
1,6,1,0,225
0,58,2,0,70
0,46,2,357,42
0,20,2,365,65
2,0,1,0,80
0,57,1,301,60
1,24,1,27,150
1,0,1,227,135
0,1,1,0,66
1,0,1,0,90
1,0,1,0,300
0,1,1,2,49
1,0,1,0,150
0,13,1,172,100
1,0,1,0,115
1,11,1,0,126
1,29,2,273,99
1,9,3,50,109
1,1,1,194,300
1,11,1,16,197
1,41,1,45,100
1,0,1,23,168
1,5,1,0,199
1,6,1,0,110
0,2,1,0,85
1,6,1,0,199
1,2,1,241,150
0,1,2,0,63
1,6,1,0,200
1,1,1,0,77
1,5,1,0,115
1,30,2,182,300
0,0,1,149,40
0,2,1,0,40
0,0,2,82,40
0,8,1,364,60
0,0,1,0,47
0,68,2,337,91
0,13,2,160,80
0,1,2,188,118
1,0,1,0,90
0,5,1,364,89
1,9,1,0,133
0,0,1,0,90
0,0,1,133,58
0,0,1,0,58
1,5,1,0,140
1,4,1,0,150
1,0,1,25,48
1,1,1,33,80
0,0,2,0,95
1,8,1,0,165
0,67,1,355,95
0,5,1,149,150
1,19,1,1,120
0,42,1,54,119
1,2,1,187,142
0,10,1,35,81
1,4,1,0,120
0,46,3,86,95
1,0,1,0,300
0,34,3,335,60
1,20,1,123,199
1,17,1,5,179
0,14,1,0,80
1,3,1,0,207
0,6,2,310,73
0,19,2,0,80
1,61,1,255,208
0,27,1,78,65
1,4,1,0,160
1,0,1,25,129
0,0,2,96,50
1,29,3,38,105
0,1,1,0,160
0,1,1,291,75
0,0,1,0,50
0,26,2,0,46
1,1,1,189,103
1,2,1,359,210
0,33,3,313,70
2,69,1,81,64
1,2,1,0,200
0,0,1,0,130
1,32,1,0,75
0,68,1,299,90
1,0,1,0,150
1,0,1,0,200
1,3,1,85,240
1,22,2,0,125
1,70,1,342,160
1,1,1,0,95
0,1,3,71,60
0,0,1,16,42
0,1,1,38,105
1,45,1,3,200
1,0,1,0,100
0,49,2,336,65
0,1,1,0,100
0,8,1,0,200
0,56,2,301,89
0,0,1,51,50
1,1,1,0,175
0,0,1,0,57
0,19,1,358,75
1,1,3,52,85
0,1,1,364,45
0,24,1,317,65
0,1,1,188,65
1,6,2,12,159
1,57,2,264,83
1,9,1,23,189
1,1,1,5,115
1,19,1,0,150
0,0,1,0,150
0,3,1,0,75
1,3,1,0,175
1,11,1,10,140
0,3,1,7,210
1,11,1,85,290
1,2,1,0,130
0,1,1,0,100
0,1,2,0,60
1,38,1,307,65
0,11,1,0,38
0,1,1,351,200
1,1,1,0,120
0,14,1,123,55
1,0,1,7,150
1,1,1,0,99
0,0,1,0,50
0,12,3,349,70
0,5,1,57,80
1,24,1,145,149
1,67,1,348,135
1,0,1,0,100
0,1,1,0,30
1,39,1,0,185
0,10,1,88,43
0,32,1,303,80
1,8,1,43,160
1,5,1,0,150
0,22,1,24,50
0,6,1,145,65
1,24,2,263,247
0,0,1,179,180
1,0,1,16,100
2,0,1,270,55
0,1,3,225,57
1,12,1,145,200
0,2,2,103,59
0,0,1,0,115
1,12,1,6,155
0,4,1,0,25
0,0,1,0,60
1,4,1,5,200
0,19,1,89,76
0,2,1,0,60
1,5,1,327,123
0,14,3,0,65
1,4,1,0,120
0,4,1,365,250
1,19,1,165,140
0,6,1,0,72
0,59,3,0,150
0,1,1,0,38
1,27,1,167,95
0,4,1,0,60
1,0,1,0,189
2,0,1,365,150
0,26,1,73,98
1,1,1,5,150
0,8,2,0,78
0,9,1,9,195
0,0,1,0,119
0,2,3,332,87
1,0,1,29,168
1,0,1,0,200
1,2,2,22,186
1,25,1,143,59
0,46,2,92,70
0,2,3,311,85
1,15,1,27,65
1,5,1,95,68
1,1,1,17,180
1,1,1,0,125
1,0,1,160,250
1,0,1,0,120
1,17,1,0,120
1,3,2,147,123
1,21,1,191,150
1,0,1,0,125
1,14,1,126,325
0,2,1,0,34
1,61,1,59,165
1,46,1,166,273
1,22,1,0,69
0,4,1,365,200
0,27,2,76,94
0,13,3,320,52
0,0,1,0,32
0,0,1,83,45
0,50,1,85,60
1,1,1,1,99
1,67,3,252,130
0,0,1,0,148
1,15,1,0,179
0,2,2,0,55
1,0,1,0,149
0,49,1,275,58
0,37,1,0,150
0,0,3,280,125
0,27,2,312,125
1,7,1,0,99
0,26,1,84,90
0,24,1,0,47
0,5,3,0,85
1,9,1,0,189
1,59,2,127,65
0,1,2,89,190
1,4,1,5,175
0,3,3,0,78
0,8,1,170,65
0,2,1,311,100
1,45,1,90,250
1,16,1,81,115
1,5,1,0,200
1,0,1,0,175
0,0,1,0,35
1,4,2,11,150
1,2,2,0,240
0,5,1,49,95
1,0,1,90,75
1,0,1,0,300
0,0,1,0,75
0,36,1,5,77
1,0,1,0,105
0,24,2,347,55
1,0,1,0,150
0,0,1,0,65
1,1,1,4,170
0,0,1,0,100
0,23,2,244,80
0,5,1,5,60
1,65,3,92,79
1,1,1,0,160
0,9,1,0,30
1,1,1,0,76
1,0,1,17,225
1,1,1,0,250
0,4,2,24,73
0,0,2,0,100
1,27,1,189,230
0,21,2,363,119
1,8,1,9,141
0,0,1,308,50
0,5,1,86,85
1,4,1,50,108
0,8,1,0,60
1,0,2,1,80
0,0,1,0,112
1,4,1,260,179
0,24,1,0,73
1,5,1,0,99
0,17,1,1,79
0,9,2,0,35
0,10,2,0,95
0,0,1,0,70
0,2,1,22,140
0,14,1,19,103
0,27,1,0,60
0,0,2,0,179
1,0,1,22,99
1,4,1,45,265
1,12,1,128,215
1,1,1,0,170
0,1,1,5,125
1,2,1,0,250
1,0,1,0,150
1,4,1,101,150
0,0,1,0,40
1,39,1,34,148
1,2,1,76,260
0,54,2,271,75
1,7,1,0,196
0,0,2,29,54
0,0,1,0,45
0,28,1,175,50
1,0,1,0,200
0,2,1,0,100
1,11,1,0,95
0,0,1,0,100
0,19,1,18,40
0,34,1,59,100
1,5,1,3,100
1,3,1,0,189
1,41,2,342,125
1,1,1,5,198
1,2,1,0,68
0,21,1,46,79
0,6,1,56,50
0,0,2,0,90
1,0,1,40,120
0,0,1,0,110
0,2,1,0,40
0,4,1,0,62
0,0,3,364,75
0,19,2,74,55
1,2,1,0,170
0,30,1,0,69
1,8,2,189,172
0,0,1,19,50
1,1,1,0,120
0,0,2,130,100
1,40,1,88,125
1,4,1,0,125
1,34,1,12,110
1,38,1,314,162
1,2,1,0,149
1,24,3,19,80
1,2,1,0,125
1,3,1,0,110
0,0,2,310,70
1,8,1,54,300
1,0,1,360,125
0,3,3,23,42
0,35,1,327,105
0,22,1,0,70
1,2,1,0,160
1,1,1,334,180
1,2,2,146,220
0,2,1,0,90
0,16,1,11,85
0,50,3,126,38
0,0,2,0,33
1,0,1,365,180
0,0,1,0,40
0,8,1,56,59
0,4,1,175,60
1,29,1,282,175
0,2,1,0,94
1,11,2,0,99
1,13,1,0,125
0,4,1,0,109
0,1,1,0,60
0,2,1,0,80
0,5,2,0,120
0,41,3,278,40
0,1,1,0,49
0,2,1,89,120
0,36,1,316,60
0,9,2,0,105
1,30,1,173,250
1,5,1,0,145
0,49,1,11,50
0,0,1,36,150
0,3,2,0,40
0,0,1,89,85
0,13,1,365,100
1,0,2,0,250
1,7,1,257,245
0,0,1,0,27
1,0,1,0,200
1,1,1,0,300
1,0,1,85,225
1,0,1,0,200
1,0,2,50,88
1,0,1,20,99
0,23,2,334,65
0,34,1,4,35
1,6,1,8,100
1,0,1,188,180
1,16,1,1,120
1,3,1,0,120
1,5,1,30,225
1,2,1,5,109
1,61,2,127,60
1,17,1,305,85
1,15,1,0,190
0,8,1,311,75
1,10,1,0,125
1,6,1,336,150
0,0,1,0,65
1,31,1,0,125
0,37,1,0,150
0,0,1,180,105
1,2,1,350,299
0,31,2,89,70
0,6,3,365,150
0,1,1,0,68
1,2,1,74,298
0,7,1,0,88
0,1,1,335,40
1,10,1,11,239
0,0,2,168,95
0,9,2,0,50
0,0,1,0,70
1,1,1,0,280
1,4,1,0,122
0,47,1,40,120
1,4,1,0,275
1,6,1,0,150
0,1,2,0,59
1,1,2,0,120
1,16,1,4,70
0,1,2,269,138
1,1,1,0,248
0,28,2,53,68
0,0,1,0,40
