room_type,number_of_reviews,calculated_host_listings_count,availability_365,price
0,5,1,89,40
1,10,2,365,199
0,14,3,301,55
1,11,1,0,130
1,0,1,0,259
1,3,1,13,140
1,0,1,0,265
0,2,1,0,75
1,0,1,0,240
0,12,3,0,70
0,14,1,0,100
1,1,1,36,200
1,6,1,25,150
1,4,1,0,175
0,0,1,0,45
0,7,1,152,110
0,1,1,0,50
0,24,2,360,60
0,42,1,263,80
1,0,1,0,120
1,5,2,0,125
1,6,1,0,95
0,25,2,108,50
0,0,1,0,25
1,0,2,0,80
1,3,1,2,197
2,0,3,83,55
0,2,1,0,70
1,0,1,208,199
1,4,1,0,200
1,26,2,317,200
1,4,1,0,150
0,48,2,12,45
0,2,1,0,69
1,0,1,0,57
0,2,1,0,100
0,5,2,40,75
1,1,1,0,101
1,6,1,0,175
1,20,1,355,149
1,2,1,0,200
1,1,1,0,250
0,1,1,56,55
1,1,1,0,65
0,0,1,0,275
0,63,2,30,55
0,10,1,70,105
1,24,1,0,76
0,9,1,0,100
1,2,1,0,135
0,2,1,0,150
1,2,1,0,160
0,5,1,0,55
1,19,3,1,77
1,20,1,44,170
1,0,3,179,44
1,1,1,85,100
1,1,1,43,130
1,25,1,195,290
0,10,2,352,45
0,0,1,0,60
0,17,1,16,150
1,6,1,0,175
1,20,1,44,185
0,2,1,0,60
1,0,1,0,125
0,32,3,292,69
0,1,2,0,83
0,30,3,43,60
1,68,1,311,269
1,0,1,17,250
0,3,1,79,75
1,62,1,36,130
0,3,1,87,90
0,0,1,88,72
0,2,1,176,99
0,21,2,148,65
1,10,1,0,125
1,10,1,89,150
0,3,1,0,80
1,2,1,0,88
0,41,3,64,100
0,9,1,83,50
0,50,1,1,65
1,11,1,237,85
1,63,1,0,150
1,11,1,0,190
0,1,1,0,34
1,1,1,0,192
1,4,1,0,300
1,7,1,0,300
1,0,1,6,169
1,12,1,0,115
0,2,3,0,40
1,0,1,282,250
1,20,1,355,139
0,2,1,7,85
0,0,1,3,65
1,40,1,279,150
1,7,1,0,90
1,17,1,80,125
1,23,1,17,280
1,5,1,0,195
0,5,1,42,100
1,1,3,0,195
0,4,2,0,52
1,11,1,0,100
0,4,1,242,73
1,3,1,0,150
1,2,1,77,140
0,0,1,83,85
0,2,2,89,90
1,2,1,0,102
0,64,3,116,80
1,0,1,0,140
1,0,1,0,229
1,3,1,189,122
0,4,1,0,50
1,3,1,5,110
0,7,1,248,125
0,7,1,0,99
1,0,1,0,175
0,11,2,179,55
1,0,1,365,175
0,3,2,182,55
1,0,1,0,139
1,9,1,0,130
1,1,1,0,70
1,0,1,0,250
1,62,2,77,100
1,2,1,0,97
0,4,1,0,80
1,62,1,92,173
0,1,1,0,45
1,29,3,347,250
1,2,1,24,125
0,0,1,0,100
1,20,1,297,135
0,29,2,35,42
1,19,2,231,149
0,3,1,0,90
1,9,1,212,95
0,0,1,128,43
1,2,1,0,125
0,1,1,6,55
1,5,1,0,190
1,22,1,316,165
0,0,1,0,75
1,68,1,63,189
0,0,1,0,200
0,24,1,0,50
1,14,1,288,125
0,5,2,359,50
0,2,1,0,63
1,3,1,0,130
0,1,1,16,90
0,6,3,85,147
1,38,1,306,98
1,28,1,325,99
1,0,1,29,150
0,0,1,0,38
0,20,2,190,60
0,0,1,310,75
2,0,2,0,15
1,0,1,0,137
0,0,3,280,90
0,22,3,67,40
0,0,1,0,65
1,4,1,0,135
0,0,1,363,85
1,12,1,38,195
1,1,1,6,150
0,7,1,0,50
1,69,1,163,250
0,20,1,31,120
0,3,1,0,75
1,0,1,0,87
0,0,1,0,150
2,0,1,0,95
0,1,1,0,40
1,0,3,0,250
0,0,1,0,69
0,0,1,0,50
0,0,1,0,66
2,7,1,320,30
0,4,1,0,57
0,0,1,88,150
0,18,1,362,70
0,7,1,65,70
0,0,1,0,125
1,23,1,230,185
1,0,1,0,195
0,9,1,0,100
1,51,1,291,138
1,4,1,0,120
1,0,1,0,80
1,1,1,0,200
2,5,2,0,22
1,2,1,0,90
1,69,2,99,113
1,43,1,0,200
1,1,1,0,250
1,2,1,44,194
1,2,1,344,225
1,2,1,55,150
0,2,1,0,100
1,22,1,0,170
1,1,1,66,150
0,5,1,0,40
1,1,1,84,85
1,9,1,111,115
0,6,3,5,54
1,5,1,0,103
0,0,1,0,66
0,0,1,0,160
0,0,1,0,40
1,0,1,0,150
0,3,2,127,150
1,47,2,336,175
1,0,1,0,150
0,3,1,84,80
0,19,2,249,104
1,17,1,167,220
0,28,1,0,65
1,18,1,68,215
1,2,1,92,150
1,16,1,302,240
0,31,2,51,70
0,0,2,52,100
0,0,1,0,100
0,20,1,311,57
1,1,1,0,200
1,3,1,0,167
1,1,1,10,120
0,36,1,69,85
1,0,1,0,175
1,13,1,24,140
1,6,1,0,100
0,14,2,311,26
0,24,3,0,90
2,2,1,0,10
1,0,1,0,176
0,2,2,0,75
0,0,1,351,80
0,16,1,139,68
0,0,1,0,85
0,4,2,182,89
1,0,1,0,225
1,6,1,334,120
1,0,1,0,175
0,12,1,124,119
1,2,1,0,60
1,29,1,3,303
1,6,1,38,180
0,2,2,173,90
0,5,1,0,45
1,0,1,0,120
1,0,1,0,150
0,64,3,362,69
0,36,1,3,115
1,3,1,157,165
0,3,1,0,75
0,8,1,280,50
1,23,1,190,90
1,28,1,0,100
0,6,2,64,45
1,2,1,5,93
0,0,1,365,60
0,56,1,131,71
1,18,1,29,180
1,9,1,140,200
0,14,2,128,45
0,19,1,81,60
1,37,3,14,99
1,1,1,9,120
0,11,1,9,65
1,3,1,5,250
2,1,1,0,79
0,1,1,0,50
1,37,1,263,70
1,7,1,0,125
1,3,1,356,295
1,5,3,0,95
1,1,1,266,275
0,15,2,147,59
1,5,1,0,150
0,10,3,359,160
0,34,1,34,70
1,11,1,1,130
1,5,1,1,90
0,19,2,0,60
0,1,1,188,63
0,21,3,261,22
1,16,1,157,125
2,0,2,363,300
0,29,2,117,110
0,0,1,0,100
0,0,1,0,89
1,0,1,0,200
1,4,1,0,166
1,5,1,164,265
0,8,1,76,119
1,5,3,0,299
1,50,1,0,110
1,32,1,0,110
1,2,1,0,219
0,1,1,10,80
0,2,2,0,70
0,0,1,0,80
0,0,1,0,140
1,24,1,0,200
1,1,1,24,189
0,13,2,310,65
1,2,1,0,177
0,6,1,0,70
1,22,1,82,125
0,10,1,24,130
0,4,2,0,158
1,0,1,365,300
0,0,1,342,70
1,0,1,148,190
0,5,3,365,50
1,6,1,0,140
0,13,1,0,69
0,1,2,0,60
0,5,1,20,150
1,5,1,0,120
1,1,3,363,130
1,4,1,6,200
1,5,1,0,239
1,0,1,0,122
0,10,2,2,43
1,5,1,184,180
1,24,1,296,201
0,11,3,332,75
0,0,1,0,200
0,9,3,0,69
1,4,1,31,94
1,0,1,34,99
0,0,2,0,100
1,4,1,157,170
0,0,1,0,75
1,2,1,0,225
1,15,1,0,175
1,31,1,28,311
0,0,1,0,60
0,11,1,0,140
0,0,1,0,50
0,2,1,0,70
1,11,1,0,257
0,1,1,157,50
0,17,1,0,120
1,1,1,170,208
0,0,1,0,100
0,0,1,0,50
0,0,2,180,75
1,0,1,0,300
0,3,1,6,84
1,13,1,0,155
1,4,1,0,120
0,3,3,174,70
0,1,1,0,60
1,24,1,296,150
0,46,1,66,99
1,15,3,69,150
0,0,1,0,42
0,3,1,0,130
0,21,2,111,31
1,7,1,0,175
1,68,1,122,219
0,11,3,177,129
0,57,1,335,75
0,2,1,0,90
1,9,1,0,120
0,0,1,0,69
1,5,2,159,150
0,19,1,24,40
1,6,1,67,245
1,3,1,30,200
0,0,2,361,59
1,2,2,0,130
0,2,2,364,65
1,0,1,0,180
0,3,1,180,120
1,0,2,5,149
1,20,1,0,141
1,11,3,363,130
1,25,1,0,100
1,1,1,0,170
1,3,1,0,75
1,68,1,41,190
0,32,1,72,75
1,11,1,128,120
1,43,1,241,198
1,0,1,29,139
1,1,1,0,70
0,0,1,0,70
0,0,1,105,116
1,0,1,81,310
1,8,1,52,245
1,4,1,0,145
1,0,1,0,200
1,0,1,188,130
1,2,1,279,275
1,5,1,0,80
1,12,1,0,60
0,3,3,12,128
0,1,1,0,45
1,3,1,0,100
1,6,1,0,120
1,1,1,187,299
0,0,1,0,120
2,58,1,345,59
0,0,1,12,99
0,0,1,162,53
1,19,2,0,160
0,2,1,0,105
1,3,1,0,95
1,6,1,156,121
0,42,2,57,50
1,1,1,0,199
1,4,1,0,100
1,0,1,0,200
0,6,1,336,149
0,14,1,173,105
1,1,1,365,125
1,1,1,0,159
1,1,1,0,224
1,20,2,141,95
1,44,2,35,99
1,14,1,0,85
0,0,1,0,60
0,0,1,0,120
1,3,1,120,99
1,1,1,0,149
1,0,1,0,92
1,12,1,2,100
0,8,1,0,59
0,5,1,0,49
0,0,1,0,75
0,2,3,217,90
0,39,1,76,65
1,31,1,7,125
0,0,2,179,159
0,0,1,0,50
1,9,3,223,111
1,29,1,80,135
1,28,3,209,97
1,26,1,182,130
0,20,1,0,60
0,4,1,0,149
0,19,2,85,60
1,0,1,0,120
0,4,2,79,140
0,70,1,1,34
0,7,1,0,62
1,70,1,208,120
1,30,1,0,195
1,0,1,89,175
0,18,2,234,110
1,20,1,101,95
1,0,2,331,150
0,6,1,156,69
1,13,1,0,220
1,63,1,216,269
1,49,1,4,175
1,20,1,139,130
1,0,1,0,150
0,2,1,0,23
1,27,1,126,174
1,26,1,2,100
0,1,3,311,75
0,0,1,0,70
1,2,1,0,325
0,68,1,5,100
0,3,1,0,40
0,34,1,18,56
1,4,1,270,95
1,1,2,346,250
0,1,2,6,100
1,0,1,0,300
1,18,2,0,250
1,12,1,66,255
1,14,1,0,250
1,3,1,7,100
0,0,1,0,90
1,20,1,0,200
0,1,1,0,110
1,16,1,136,288
0,70,1,256,53
0,1,1,0,59
0,2,1,0,50
0,1,1,0,75
1,23,2,121,120
1,4,1,0,125
1,55,1,7,150
0,0,1,0,82
0,5,2,0,80
0,16,1,23,65
1,12,1,0,250
1,29,1,109,150
1,0,1,168,299
1,56,1,134,250
0,6,1,0,100
1,3,1,0,190
0,0,1,0,140
0,1,1,0,60
0,24,2,91,100
0,8,1,156,70
1,68,1,54,109
1,2,1,0,325
1,0,2,79,150
0,1,1,0,47
0,2,1,10,90
1,1,1,280,130
0,30,1,131,66
0,1,1,0,75
0,0,1,177,85
0,2,1,0,65
1,6,1,0,245
2,1,1,0,175
1,0,2,364,199
1,5,2,161,200
0,16,1,262,130
1,0,1,0,275
0,44,3,365,85
0,34,2,189,100
0,5,1,83,150
0,4,1,0,55
2,17,1,39,60
1,14,1,14,147
0,2,2,0,59
1,17,1,9,128
1,2,1,22,125
1,3,1,0,150
1,17,1,79,59
0,16,1,0,45
1,1,3,321,295
0,3,1,0,60
1,1,1,24,90
1,43,1,80,129
0,1,2,0,125
1,0,1,0,210
1,4,1,5,140
1,68,2,215,169
1,44,1,280,148
0,0,1,347,125
1,0,1,0,200
0,2,1,0,150
0,9,1,358,62
1,20,1,363,100
1,46,1,10,100
0,8,1,0,70
0,1,1,177,85
1,23,1,0,199
0,1,1,0,55
2,1,2,0,70
0,0,1,363,125
1,4,1,0,99
0,3,3,342,86
1,8,1,29,250
1,1,1,0,225
1,1,1,323,170
1,58,1,0,145
1,1,1,0,225
0,30,2,333,60
1,0,1,0,200
1,4,1,0,150
0,7,2,66,120
1,13,1,0,85
1,2,1,161,300
0,3,1,0,50
1,3,1,0,250
0,0,1,0,67
0,2,1,0,75
1,4,1,0,240
0,22,1,365,99
1,0,1,0,115
0,5,2,0,60
0,1,1,0,55
1,0,1,0,220
2,13,2,361,27
0,59,1,77,42
1,0,1,341,165
1,15,1,0,100
1,0,1,0,290
1,8,1,0,106
1,1,1,292,98
1,1,1,0,150
0,32,1,195,74
1,1,1,0,150
1,25,2,299,159
0,0,2,0,62
0,50,1,86,80
0,0,1,89,99
1,15,1,170,90
1,1,1,0,200
1,4,1,0,175
0,9,1,365,175
1,7,1,99,240
1,69,1,226,245
1,2,1,0,250
0,0,1,0,125
0,17,1,112,75
0,22,3,60,57
1,1,1,0,275
0,1,2,0,29
1,0,1,0,175
0,0,1,199,110
0,7,3,342,95
0,6,3,56,40
1,8,1,241,249
1,18,1,6,42
1,20,1,0,250
1,57,2,113,106
1,13,1,0,120
1,10,1,0,181
1,1,1,0,100
0,0,1,365,89
0,0,1,0,130
0,6,1,0,30
1,47,3,95,105
0,9,1,19,99
1,50,1,173,175
0,6,2,0,69
0,16,1,134,100
0,20,1,244,50
0,4,1,0,75
1,1,1,0,120
0,7,1,0,55
0,11,2,161,60
0,0,1,89,100
1,1,1,7,94
1,15,1,121,149
0,1,1,0,55
1,2,1,157,200
0,0,1,0,75
1,14,1,156,240
1,13,2,294,161
0,13,3,365,68
1,3,1,27,140
1,8,1,1,170
0,14,3,210,31
0,10,2,108,110
1,6,1,35,95
1,24,1,82,275
1,23,1,0,150
0,10,1,0,65
0,0,1,0,125
1,9,1,0,69
0,0,1,0,40
1,2,1,0,79
0,1,1,0,90
0,33,2,17,70
1,21,2,63,137
0,1,1,0,220
0,2,1,90,90
1,0,1,365,295
1,25,1,223,40
0,5,1,365,97
0,29,3,324,62
1,17,1,15,150
1,35,1,261,299
1,7,1,0,100
1,8,2,0,187
0,0,1,342,200
1,17,1,27,175
0,19,2,177,80
1,34,1,42,85
0,1,2,179,80
0,0,1,0,80
0,7,2,0,44
0,1,1,359,35
0,41,1,5,55
1,59,1,36,85
1,12,1,107,175
0,45,2,34,65
1,26,1,60,250
1,8,1,27,85
1,16,1,0,185
1,13,1,61,150
0,30,2,0,60
0,1,1,69,35
1,2,1,157,135
1,32,1,39,160
0,0,1,0,70
1,30,1,0,180
0,12,2,189,180
0,37,1,365,110
0,51,1,127,75
0,5,1,0,60
1,0,1,0,160
0,60,3,336,70
2,4,2,206,30
1,14,1,323,200
0,0,1,113,75
1,5,1,0,250
1,0,1,0,105
1,0,1,0,161
0,5,1,80,75
0,35,1,90,110
0,0,1,89,125
1,1,1,0,139
1,45,1,0,125
0,1,1,17,58
1,5,1,0,75
1,1,1,189,175
0,4,1,0,70
1,0,1,0,185
1,9,1,0,75
0,19,2,151,55
1,1,1,0,207
0,0,1,0,46
0,0,1,0,50
1,21,1,88,100
1,58,1,132,163
0,1,1,363,75
0,1,1,0,35
0,5,1,0,90
1,9,1,0,200
0,12,1,0,110
1,0,1,13,195
0,21,1,51,60
1,16,3,0,130
1,10,2,89,150
0,3,3,188,70
1,27,1,39,100
1,0,1,0,150
0,6,3,49,99
0,58,2,188,50
0,2,1,0,80
1,1,1,0,200
1,3,2,178,299
0,0,1,138,75
0,1,1,0,70
0,1,1,0,70
1,5,3,326,78
0,5,1,0,35
0,27,1,0,85
1,8,1,4,80
0,2,1,0,30
0,0,1,179,110
0,43,2,15,35
0,11,1,0,53
0,1,1,0,55
0,9,2,0,120
1,3,1,365,300
0,1,1,311,50
1,3,1,0,130
1,33,1,26,230
0,7,1,0,60
1,3,1,0,74
0,37,2,0,35
0,19,2,0,125
0,8,1,0,172
1,2,1,0,215
0,1,1,81,125
0,10,1,91,249
1,2,1,309,150
1,9,1,0,160
0,0,1,0,175
1,2,1,0,118
1,3,1,0,280
0,1,1,144,128
1,19,3,0,200
1,2,1,0,190
0,12,1,358,72
0,2,1,15,48
